DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
200318443,10/06/2020 12:00:00 AM,10/06/2020 12:00:00 AM,1309,3,Southwest,314,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1822 1309 2032,34,F,H,101.0,STREET,,,IC,Invest Cont,440.0,,,,2400    10TH                         AV,,34.0346,-118.3284
212015405,09/21/2021 12:00:00 AM,09/21/2021 12:00:00 AM,1340,20,Olympic,2029,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0377 1822 2050 2051 0910,19,M,H,920.0,MTA - PURPLE LINE - WILSHIRE/VERMONT,,,IC,Invest Cont,440.0,,,,3100    WILSHIRE                     BL,,34.0652,-118.2878
210711860,08/10/2021 12:00:00 AM,08/10/2021 12:00:00 AM,1000,7,Wilshire,766,2,624,BATTERY - SIMPLE ASSAULT,1822 0416 0446,50,M,W,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,1500    CRENSHAW                     BL,,34.0468,-118.3305
241314567,11/07/2024 12:00:00 AM,11/06/2024 12:00:00 AM,1,13,Newton,1365,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,1300 E  51ST                         ST,,33.9966,-118.2521
201012727,09/03/2020 12:00:00 AM,09/01/2020 12:00:00 AM,1330,10,West Valley,1063,1,220,ATTEMPTED ROBBERY,1420 1309 0913 0302 0359 0312 1214 0353 1000,30,M,H,102.0,SIDEWALK,102.0,HAND GUN,AO,Adult Other,220.0,,,,18700 W  VENTURA                      BL,,34.1707,-118.5407
201311624,05/30/2020 12:00:00 AM,05/30/2020 12:00:00 AM,400,13,Newton,1303,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,30,M,H,203.0,OTHER BUSINESS,,,IC,Invest Cont,740.0,,,,1000    WALL                         ST,,34.0376,-118.2531
241107507,04/16/2024 12:00:00 AM,04/16/2024 12:00:00 AM,700,11,Northeast,1172,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1822 0329,68,F,C,101.0,STREET,,,IC,Invest Cont,740.0,,,,2400    EARL                         ST,,34.0962,-118.2592
201013225,09/19/2020 12:00:00 AM,09/18/2020 12:00:00 AM,334,10,West Valley,1067,1,330,BURGLARY FROM VEHICLE,1822 1300 0344 1414 1420,44,M,W,108.0,PARKING LOT,,,IC,Invest Cont,330.0,,,,5100    BALBOA                       BL,,34.166,-118.5095
211205412,01/21/2021 12:00:00 AM,06/20/2020 12:00:00 AM,800,12,77th Street,1273,2,354,THEFT OF IDENTITY,0100 0928,44,F,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,9100    HAAS                         AV,,33.9527,-118.3167
221607970,12/28/2021 12:00:00 AM,10/15/2020 12:00:00 AM,1340,16,Foothill,1622,2,354,THEFT OF IDENTITY,,32,M,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,10900    EL DORADO                    AV,,34.2677,-118.4269
211318298,10/31/2021 12:00:00 AM,10/30/2021 12:00:00 AM,2300,13,Newton,1395,1,320,"BURGLARY, ATTEMPTED",1607 0329,0,M,H,203.0,OTHER BUSINESS,,,IC,Invest Cont,320.0,,,,7000    AVALON                       BL,,33.976,-118.2652
220608340,04/04/2022 12:00:00 AM,01/31/2022 12:00:00 AM,1000,6,Hollywood,637,2,662,"BUNCO, GRAND THEFT",1501 1822 1019,63,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,662.0,,,,6200    HOLLYWOOD                    BL,,34.103,-118.3225
200604742,01/17/2020 12:00:00 AM,01/13/2020 12:00:00 AM,900,6,Hollywood,666,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,31,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,740.0,,,,6200    LEXINGTON                    AV,,34.0926,-118.3244
210917285,12/06/2021 12:00:00 AM,08/08/2021 12:00:00 AM,2045,9,Van Nuys,946,2,354,THEFT OF IDENTITY,1202 0928 0929,69,F,W,732.0,POST OFFICE,,,IC,Invest Cont,354.0,,,,5900    COLBATH                      AV,,34.1776,-118.4367
210206389,03/01/2021 12:00:00 AM,02/26/2021 12:00:00 AM,1000,2,Rampart,217,2,649,DOCUMENT FORGERY / STOLEN FELONY,1202 0913 0923 0602 0360 0100,72,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,649.0,,,,800    GLENDALE                     BL,,34.0727,-118.2637
200911902,07/03/2020 12:00:00 AM,07/02/2020 12:00:00 AM,1930,9,Van Nuys,923,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,14900    VICTORY                      BL,,34.1903,-118.4574
230818212,12/18/2023 12:00:00 AM,12/18/2023 12:00:00 AM,1100,8,West LA,827,2,662,"BUNCO, GRAND THEFT",0344 0701,79,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,662.0,,,,200 S  BARRINGTON                   AV,,34.0642,-118.4688
210319045,11/18/2021 12:00:00 AM,11/17/2021 12:00:00 AM,2030,3,Southwest,335,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,3100    8TH                          AV,,34.0276,-118.326
231708399,04/09/2023 12:00:00 AM,04/09/2023 12:00:00 AM,1900,17,Devonshire,1785,2,900,VIOLATION OF COURT ORDER,2038 2000 0913 1814,37,F,H,501.0,SINGLE FAMILY DWELLING,,,AO,Adult Other,900.0,,,,8800    NESTLE                       AV,,34.2308,-118.5311
201511604,06/21/2020 12:00:00 AM,06/21/2020 12:00:00 AM,1430,15,N Hollywood,1543,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0400 0416 2004 1822,47,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",212.0,BOTTLE,AO,Adult Other,230.0,,,,12100    CHANDLER                     BL,,34.1684,-118.3982
201712872,09/02/2020 12:00:00 AM,08/25/2020 12:00:00 AM,1058,17,Devonshire,1764,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0325,0,X,X,242.0,"DISCOUNT STORE (99 CENT,DOLLAR,ETC.",,,IC,Invest Cont,440.0,,,,19300    PLUMMER                      ST,,34.2427,-118.5539
240608403,04/09/2024 12:00:00 AM,04/04/2024 12:00:00 AM,217,6,Hollywood,643,1,330,BURGLARY FROM VEHICLE,0386,43,M,W,707.0,GARAGE/CARPORT,,,IC,Invest Cont,330.0,,,,1500 N  MARTEL                       AV,,34.098,-118.35
230504984,01/27/2023 12:00:00 AM,01/27/2023 12:00:00 AM,1400,5,Harbor,565,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 2033 0411 1218,29,M,W,102.0,SIDEWALK,200.0,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,230.0,,,,GAFFEY                       ST,9TH                          ST,33.7361,-118.2924
210904979,01/27/2021 12:00:00 AM,01/20/2021 12:00:00 AM,145,9,Van Nuys,905,1,510,VEHICLE - STOLEN,,0,,,108.0,PARKING LOT,,,IC,Invest Cont,510.0,,,,KESWICK                      ST,VAN NUYS                     BL,34.2048,-118.4531
200217015,11/02/2020 12:00:00 AM,11/01/2020 12:00:00 AM,1700,2,Rampart,205,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,0,X,X,203.0,OTHER BUSINESS,,,IC,Invest Cont,740.0,,,,2900 W  SUNSET                       BL,,34.0829,-118.2733
232009655,04/03/2023 12:00:00 AM,02/03/2023 12:00:00 AM,1445,20,Olympic,2027,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1822,28,M,A,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,956.0,,,,600 S  NEW HAMPSHIRE                AV,,34.0636,-118.2929
211407790,03/08/2021 12:00:00 AM,11/27/2020 12:00:00 AM,1600,14,Pacific,1487,2,354,THEFT OF IDENTITY,0377,59,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,8800 S  SEPULVEDA                    BL,,33.9568,-118.3962
241211217,05/04/2024 12:00:00 AM,05/04/2024 12:00:00 AM,1250,12,77th Street,1249,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0908 0416 0446 0429 0417 1309 1313 0342 1822,0,F,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,230.0,,,,FIGUEROA                     ST,66TH                         ST,33.9798,-118.2827
200111113,04/28/2020 12:00:00 AM,04/28/2020 12:00:00 AM,1915,1,Central,174,1,310,BURGLARY,1610 1414 2004 1822 0344 1609 0321 1402,0,X,X,203.0,OTHER BUSINESS,312.0,PIPE/METAL PIPE,AA,Adult Arrest,310.0,998.0,,,100 W  7TH                          ST,,34.0439,-118.2514
220318764,10/20/2022 12:00:00 AM,10/15/2022 12:00:00 AM,140,3,Southwest,333,1,330,BURGLARY FROM VEHICLE,1302 1609 1307 0344 1822 0329 0354,31,F,B,101.0,STREET,,,IC,Invest Cont,330.0,,,,3400    CRENSHAW                     BL,,34.0278,-118.3378
232115680,10/25/2023 12:00:00 AM,10/25/2023 12:00:00 AM,1345,21,Topanga,2158,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421 0360,34,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511.0,VERBAL THREAT,AO,Adult Other,930.0,,,,6300    DE SOTO                      AV,,34.1844,-118.5888
200516430,11/09/2020 12:00:00 AM,11/09/2020 12:00:00 AM,530,5,Harbor,585,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,1814 1202 0447 0913 1243 2000,51,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",306.0,ROCK/THROWN OBJECT,AO,Adult Other,236.0,,,,600 W  22ND                         ST,,33.7243,-118.2907
230321071,12/11/2023 12:00:00 AM,12/08/2023 12:00:00 AM,1835,3,Southwest,392,2,946,OTHER MISCELLANEOUS CRIME,1501 0913 2004,22,X,X,101.0,STREET,,,IC,Invest Cont,946.0,,,,48TH,8TH,34.0,-118.3258
231217455,08/09/2023 12:00:00 AM,08/09/2023 12:00:00 AM,2050,12,77th Street,1257,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 1814 0448,29,F,B,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,,,,500 W  78TH                         ST,,33.9688,-118.2827
220700811,08/28/2022 12:00:00 AM,08/28/2022 12:00:00 AM,100,7,Wilshire,726,1,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,1822 0519 0532 1218 0522 1415 0531 0520 1402,56,F,A,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,821.0,998.0,,,5800 W  3RD                          ST,,34.0726,-118.3463
240711456,09/17/2024 12:00:00 AM,09/17/2024 12:00:00 AM,800,7,Wilshire,778,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,1800    CRENSHAW                     BL,,34.0415,-118.3302
230412385,09/13/2023 12:00:00 AM,09/13/2023 12:00:00 AM,54,4,Hollenbeck,459,1,520,VEHICLE - ATTEMPT STOLEN,1300 0329 1307,33,F,H,101.0,STREET,,,IC,Invest Cont,520.0,,,,400 N  INDIANA                      ST,,34.045,-118.1956
220116151,07/13/2022 12:00:00 AM,07/13/2022 12:00:00 AM,2100,1,Central,159,1,220,ATTEMPTED ROBBERY,1302 1218 1822 0444 0429,28,M,A,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,220.0,,,,W  IMPERIAL,JESSE,34.0363,-118.2314
241812515,08/26/2024 12:00:00 AM,08/25/2024 12:00:00 AM,2100,18,Southeast,1823,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,300 E  101ST                        ST,,33.9447,-118.2695
221112714,08/15/2022 12:00:00 AM,08/15/2022 12:00:00 AM,15,11,Northeast,1123,1,510,VEHICLE - STOLEN,,0,,,104.0,DRIVEWAY,,,AA,Adult Arrest,510.0,,,,3700    REVERE                       AV,,34.1213,-118.26
221320307,11/02/2022 12:00:00 AM,11/02/2022 12:00:00 AM,800,13,Newton,1333,2,354,THEFT OF IDENTITY,0922,48,F,B,605.0,AUTOMATED TELLER MACHINE (ATM),,,IC,Invest Cont,354.0,,,,900 E  33RD                         ST,,34.0147,-118.2608
232013036,07/18/2023 12:00:00 AM,02/01/2023 12:00:00 AM,800,20,Olympic,2053,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1820 0913 1202,60,M,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,440.0,,,,900 S  OXFORD                       AV,,34.0529,-118.3074
200908411,04/13/2020 12:00:00 AM,04/13/2020 12:00:00 AM,1320,9,Van Nuys,971,1,310,BURGLARY,1606 0314 1402 2004,63,F,B,501.0,SINGLE FAMILY DWELLING,,,AA,Adult Arrest,310.0,998.0,,,14900    VENTURA                      BL,,34.1564,-118.463
242113388,11/25/2024 12:00:00 AM,11/24/2024 12:00:00 AM,1830,21,Topanga,2143,1,330,BURGLARY FROM VEHICLE,0344 0354,36,M,O,717.0,HEALTH SPA/GYM,,,IC,Invest Cont,330.0,,,,6600    FALLBROOK                    AV,,34.1883,-118.6274
221010808,06/24/2022 12:00:00 AM,06/13/2022 12:00:00 AM,900,10,West Valley,1043,2,662,"BUNCO, GRAND THEFT",0701,74,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,662.0,,,,18600    HATTERAS                     ST,,34.1774,-118.5387
210616323,09/23/2021 12:00:00 AM,09/23/2021 12:00:00 AM,140,6,Hollywood,615,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0411 1218 1822,35,M,W,101.0,STREET,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,230.0,,,,CAHUENGA,PILGRIMAGE B,34.1267,-118.3316
211106707,03/20/2021 12:00:00 AM,03/20/2021 12:00:00 AM,1100,11,Northeast,1136,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1300 0344 1606,34,M,H,102.0,SIDEWALK,,,IC,Invest Cont,331.0,,,,4800    TOLAND                       WY,,34.1179,-118.2129
200117683,09/09/2020 12:00:00 AM,09/06/2020 12:00:00 AM,2200,1,Central,192,2,624,BATTERY - SIMPLE ASSAULT,0913 0416 0361,65,M,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,1300 S  OLIVE                        ST,,34.0374,-118.2636
241514903,10/24/2024 12:00:00 AM,10/24/2024 12:00:00 AM,2045,15,N Hollywood,1555,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 1822 0344 2028 2100,0,X,X,404.0,DEPARTMENT STORE,,,IC,Invest Cont,442.0,,,,5100    LANKERSHIM                   BL,,34.163,-118.3735
230509423,05/31/2023 12:00:00 AM,05/31/2023 12:00:00 AM,1730,5,Harbor,529,1,210,ROBBERY,0369 1822 0916 0449 0448 0302 1309 0330 0344 1218,44,M,H,101.0,STREET,102.0,HAND GUN,IC,Invest Cont,210.0,,,,SANFORD                      AV,F                            ST,33.7777,-118.2505
202113475,09/04/2020 12:00:00 AM,09/04/2020 12:00:00 AM,1345,21,Topanga,2156,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1606 0344,38,F,O,301.0,GAS STATION,,,IC,Invest Cont,331.0,,,,21800    VICTORY                      BL,,34.1874,-118.6034
230217884,09/22/2023 12:00:00 AM,09/21/2023 12:00:00 AM,2000,2,Rampart,203,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,4100    MARATHON                     ST,,34.0846,-118.2892
240410797,10/15/2024 12:00:00 AM,10/14/2024 12:00:00 AM,2000,4,Hollenbeck,463,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,100 N  STATE                        ST,,34.0465,-118.2174
221416834,09/13/2022 12:00:00 AM,09/01/2022 12:00:00 AM,1300,14,Pacific,1483,2,649,DOCUMENT FORGERY / STOLEN FELONY,1501,16,F,B,721.0,HIGH SCHOOL,,,IC,Invest Cont,649.0,,,,7400 W  MANCHESTER                   AV,,33.9597,-118.4285
200914017,08/26/2020 12:00:00 AM,08/26/2020 12:00:00 AM,413,9,Van Nuys,926,1,310,BURGLARY,0344 0358 1607 0321,52,F,W,517.0,MISSIONS/SHELTERS,,,IC,Invest Cont,310.0,,,,6400    TYRONE                       AV,,34.1867,-118.4443
240116764,08/14/2024 12:00:00 AM,07/03/2024 12:00:00 AM,1231,1,Central,182,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,30,M,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,341.0,,,,1200 S  OLIVE                        ST,,34.0394,-118.2623
232010561,05/21/2023 12:00:00 AM,05/21/2023 12:00:00 AM,1640,20,Olympic,2034,2,888,TRESPASSING,2004 1822 0910,0,X,X,921.0,MTA - PURPLE LINE - WILSHIRE/NORMANDIE,,,IC,Invest Cont,888.0,,,,3500    WILSHIRE                     BL,,34.0617,-118.3004
242005136,01/27/2024 12:00:00 AM,01/27/2024 12:00:00 AM,1742,20,Olympic,2074,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0431 0361 0603 0913,53,M,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",512.0,MACE/PEPPER SPRAY,IC,Invest Cont,230.0,,,,1900 W  WASHINGTON                   BL,,34.0437,-118.3029
220222001,12/21/2022 12:00:00 AM,12/21/2022 12:00:00 AM,1015,2,Rampart,256,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),1402 0344 2004,0,X,X,101.0,STREET,,,IC,Invest Cont,442.0,998.0,,,1600    WILSHIRE                     BL,,34.0554,-118.2702
241908811,05/11/2024 12:00:00 AM,05/10/2024 12:00:00 AM,2030,19,Mission,1959,1,520,VEHICLE - ATTEMPT STOLEN,1307,43,M,H,101.0,STREET,,,IC,Invest Cont,520.0,,,,13900    JOUETT                       ST,,34.2514,-118.4364
242108707,05/03/2024 12:00:00 AM,05/02/2024 12:00:00 AM,1120,21,Topanga,2189,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421,62,M,W,112.0,"BUS, SCHOOL, CHURCH",511.0,VERBAL THREAT,IC,Invest Cont,930.0,,,,20800    VENTURA                      BL,,34.1665,-118.5859
231514892,09/15/2023 12:00:00 AM,09/13/2023 12:00:00 AM,30,15,N Hollywood,1548,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300,20,F,W,101.0,STREET,,,IC,Invest Cont,740.0,,,,11100    CHANDLER                     BL,,34.1681,-118.3725
231007803,04/08/2023 12:00:00 AM,04/08/2023 12:00:00 AM,1530,10,West Valley,1049,1,330,BURGLARY FROM VEHICLE,1822 0344 1202 1609,78,M,W,108.0,PARKING LOT,,,IC,Invest Cont,330.0,,,,BURBANK                      BL,BALBOA                       BL,34.1722,-118.501
230111105,04/22/2023 12:00:00 AM,04/21/2023 12:00:00 AM,130,1,Central,138,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,58,F,O,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745.0,,,,400 E  3RD                          ST,,34.0473,-118.2425
222018188,12/04/2022 12:00:00 AM,12/03/2022 12:00:00 AM,215,20,Olympic,2069,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1822,23,F,W,122.0,"VEHICLE, PASSENGER/TRUCK",,,AO,Adult Other,341.0,,,,1100    ARAPAHOE                     ST,,34.0508,-118.2854
231408025,04/06/2023 12:00:00 AM,04/04/2023 12:00:00 AM,1230,14,Pacific,1427,1,510,VEHICLE - STOLEN,,0,,,108.0,PARKING LOT,,,IC,Invest Cont,510.0,,,,11100    NATIONAL                     BL,,34.0282,-118.4265
221612419,09/15/2022 12:00:00 AM,09/15/2022 12:00:00 AM,2030,16,Foothill,1663,2,901,VIOLATION OF RESTRAINING ORDER,2038,18,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,Adult Other,901.0,,,,12100    SHELDON                      ST,,34.2374,-118.3964
211505095,01/28/2021 12:00:00 AM,01/27/2021 12:00:00 AM,2005,15,N Hollywood,1591,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0385,63,F,W,116.0,OTHER/OUTSIDE,,,IC,Invest Cont,331.0,,,,11800    BROOKDALE                    LN,,34.1261,-118.3894
220910985,07/02/2022 12:00:00 AM,06/29/2022 12:00:00 AM,1000,9,Van Nuys,971,2,662,"BUNCO, GRAND THEFT",0800 0316,53,M,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,662.0,,,,15000    VENTURA                      BL,,34.1564,-118.463
201612565,09/03/2020 12:00:00 AM,09/03/2020 12:00:00 AM,1550,16,Foothill,1621,2,624,BATTERY - SIMPLE ASSAULT,0416 0603 0913 2004,64,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,13900    FILMORE                      ST,,34.2613,-118.4359
231505771,02/12/2023 12:00:00 AM,02/12/2023 12:00:00 AM,1410,15,N Hollywood,1516,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0400 0416,44,M,O,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,,,,6700    TUJUNGA                      AV,,34.1946,-118.3835
200511257,06/30/2020 12:00:00 AM,06/30/2020 12:00:00 AM,1820,5,Harbor,541,2,624,BATTERY - SIMPLE ASSAULT,0446 0913 0416 0432 0917 1236,26,M,H,203.0,OTHER BUSINESS,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,900 N  WESTERN                      AV,,33.7501,-118.3092
220708567,04/28/2022 12:00:00 AM,04/28/2022 12:00:00 AM,150,7,Wilshire,719,1,330,BURGLARY FROM VEHICLE,1300 1307 1822 1402 0344,42,F,O,101.0,STREET,,,IC,Invest Cont,330.0,998.0,,,600 N  ROSSMORE                     AV,,34.0817,-118.3272
241411361,07/16/2024 12:00:00 AM,07/16/2024 12:00:00 AM,1920,14,Pacific,1494,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 0344,30,M,B,212.0,TRANSPORTATION FACILITY (AIRPORT),500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,341.0,,,,500    WORLD                        WY,,33.9427,-118.4049
231113297,09/11/2023 12:00:00 AM,09/11/2023 12:00:00 AM,230,11,Northeast,1136,1,510,VEHICLE - STOLEN,,0,,,108.0,PARKING LOT,,,IC,Invest Cont,510.0,,,,4100    EAGLE ROCK                   BL,,34.1209,-118.227
201515930,09/30/2020 12:00:00 AM,09/29/2020 12:00:00 AM,1700,15,N Hollywood,1562,1,480,BIKE - STOLEN,0397 0344,49,M,W,707.0,GARAGE/CARPORT,,,IC,Invest Cont,480.0,,,,12600    MOORPARK                     ST,,34.1533,-118.4058
220615069,08/24/2022 12:00:00 AM,08/24/2022 12:00:00 AM,240,6,Hollywood,636,1,210,ROBBERY,1822 0344 0334 0400,31,M,B,108.0,PARKING LOT,102.0,HAND GUN,IC,Invest Cont,210.0,,,,1700 N  CAHUENGA                     BL,,34.1016,-118.3295
231716474,10/14/2023 12:00:00 AM,10/14/2023 12:00:00 AM,2115,17,Devonshire,1799,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0416 1814 0913 0429,49,M,B,501.0,SINGLE FAMILY DWELLING,500.0,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,626.0,,,,16100    COOK                         LN,,34.224,-118.4835
210316099,09/18/2021 12:00:00 AM,09/17/2021 12:00:00 AM,1000,3,Southwest,376,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1822 1606 0344 0385 1300,26,M,H,116.0,OTHER/OUTSIDE,,,IC,Invest Cont,420.0,,,,W  39TH                         ST,BRIGHTON                     AV,34.0155,-118.3013
221100710,05/08/2022 12:00:00 AM,05/07/2022 12:00:00 AM,2339,11,Northeast,1145,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300 1402,41,M,A,101.0,STREET,,,IC,Invest Cont,740.0,998.0,,,2300    SILVERLAKE                   CT,,34.1029,-118.2535
201611586,07/30/2020 12:00:00 AM,07/30/2020 12:00:00 AM,1200,16,Foothill,1654,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0344,49,M,W,109.0,PARK/PLAYGROUND,,,IC,Invest Cont,440.0,,,,10400    GLENOAKS                     BL,,34.2587,-118.396
231515190,09/22/2023 12:00:00 AM,09/17/2023 12:00:00 AM,1419,15,N Hollywood,1588,2,354,THEFT OF IDENTITY,0928,36,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,3400    TROY                         DR,,34.1342,-118.3454
231315975,08/22/2023 12:00:00 AM,08/21/2023 12:00:00 AM,1645,13,Newton,1323,1,220,ATTEMPTED ROBBERY,1402 0334 0446 0319 0421 0337 1822,47,M,H,101.0,STREET,215.0,MACHETE,AO,Adult Other,220.0,998.0,,,23RD                         ST,CENTRAL                      AV,34.0213,-118.2535
210111199,06/01/2021 12:00:00 AM,06/01/2021 12:00:00 AM,1250,1,Central,165,2,888,TRESPASSING,2004,22,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,888.0,,,,200 E  6TH                          ST,,0.0,0.0
230406926,03/30/2023 12:00:00 AM,03/29/2023 12:00:00 AM,1900,4,Hollenbeck,427,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,4600    HUNTINGTONSOUTH              DR,,34.0802,-118.1848
201512243,07/06/2020 12:00:00 AM,07/06/2020 12:00:00 AM,1120,15,N Hollywood,1548,1,761,BRANDISH WEAPON,0443 1402 2004 0334 1822 0400 0421,30,F,B,210.0,RESTAURANT/FAST FOOD,511.0,VERBAL THREAT,AA,Adult Arrest,761.0,998.0,,,5200    VINELAND                     AV,,34.1649,-118.3703
221607598,04/24/2022 12:00:00 AM,04/22/2022 12:00:00 AM,1040,16,Foothill,1613,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,0,M,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,341.0,,,,PIERCE                       ST,DRONFIELD,34.2755,-118.402
